rn	reflex	gloss	gfn	srcabbr	lgid	language	srcid
260911	renʔ.ʔo	severe (human)	adj	AH-CSDPN	441	Chepang	12a.37
260921	renʔ.mā.-lo	lenient	adj	AH-CSDPN	441	Chepang	12a.38
260934	gyā.ʔo	obedient	adj	AH-CSDPN	441	Chepang	12a.39
260947	gyā.mā.lo	generous	adj	AH-CSDPN	441	Chepang	12a.40
260961	hāwa-ʔo	stingy	adj	AH-CSDPN	441	Chepang	12a.41
260972	chyup.ʔo	content[ed]	adj	AH-CSDPN	441	Chepang	12a.42
260973	krup.ʔo	content[ed]	adj	AH-CSDPN	441	Chepang	12a.42
260983	chyuup.mā.lo	discontent[ed]	adj	AH-CSDPN	441	Chepang	12a.43
260996	congāy.ʔo	happy	adj	AH-CSDPN	441	Chepang	12a.44
261009	ryāʔ.gār.ʔo	sad	adj	AH-CSDPN	441	Chepang	12a.45
261010	kres.ʔo	sad	adj	AH-CSDPN	441	Chepang	12a.45
261022	ngi.si.ʔo	funny (human)	adj	AH-CSDPN	441	Chepang	12a.46
261034	sāyʔ.gār.mā.lo	boring (human)	adj	AH-CSDPN	441	Chepang	12a.47
261048	pe.ʔo	pretty (human)	adj	AH-CSDPN	441	Chepang	12a.48
261061	rew.ʔo	ugly (human)	adj	AH-CSDPN	441	Chepang	12a.49
261076	ray.mā.lo	brave	adj	AH-CSDPN	441	Chepang	12a.50
261089	ray.ʔo	fearful	adj	AH-CSDPN	441	Chepang	12a.51
261090	yumh.ʔo	fearful	adj	AH-CSDPN	441	Chepang	12a.51
261126	ngāʔ.ʔo	proud	adj	AH-CSDPN	441	Chepang	12a.54
261210	kāng.ʔo	kind	adj	AH-CSDPN	441	Chepang	12a.62
261222	ghān.rew.ʔo	cruel	adj	AH-CSDPN	441	Chepang	12a.63
261233	corʔ.ʔo	jealous	adj	AH-CSDPN	441	Chepang	12a.64
261256	ngo.ʔo	drunk	adj	AH-CSDPN	441	Chepang	12a.66
261288	ngos.ʔ.	attractive (human)	adj	AH-CSDPN	441	Chepang	12a.69
261289	jhelh.ʔo	attractive (human)	adj	AH-CSDPN	441	Chepang	12a.69
261300	yumʔ.si.ʔo	repulsive (human)	adj	AH-CSDPN	441	Chepang	12a.70
261315	yuo.ʔo	tight	adj	AH-CSDPN	441	Chepang	12b.01
261316	chās.ʔo	tight	adj	AH-CSDPN	441	Chepang	12b.01
261343	li.ʔo	heavy	adj	AH-CSDPN	441	Chepang	12b.03
261357	hāʔ.ʔo	light (of things, weight)	adj	AH-CSDPN	441	Chepang	12b.04
261371	dang.ʔo	thick (of things, density)	adj	AH-CSDPN	441	Chepang	12b.05
261384	chyām.ʔo	thin (of things, density)	adj	AH-CSDPN	441	Chepang	12b.06
261385	jhel.ʔo	thin (of things, density)	adj	AH-CSDPN	441	Chepang	12b.06
261399	cāk.ʔo	hard	adj	AH-CSDPN	441	Chepang	12b.07
261415	ʔāyh.ʔo	soft	adj	AH-CSDPN	441	Chepang	12b.08
261427	kwer.ʔo	elastic	adj	AH-CSDPN	441	Chepang	12b.09
261452	nyoy.ʔo	flexible	adj	AH-CSDPN	441	Chepang	12b.11
261453	nyorʔ.ʔo	flexible	adj	AH-CSDPN	441	Chepang	12b.11
261469	klip.ʔo	brittle	adj	AH-CSDPN	441	Chepang	12b.12
261470	ryuk.ʔo	brittle	adj	AH-CSDPN	441	Chepang	12b.12
261483	lyon.ʔo	slick	adj	AH-CSDPN	441	Chepang	12b.13
261497	grop.ʔo	sticky	adj	AH-CSDPN	441	Chepang	12b.14
261513	hlek.ʔo	greasy	adj	AH-CSDPN	441	Chepang	12b.15
261528	nik.ʔo	damp	adj	AH-CSDPN	441	Chepang	12b.16
261541	nyāt.ʔo	wet	adj	AH-CSDPN	441	Chepang	12b.17
261555	co.ngāy.si.ʔo	pleasant	adj	AH-CSDPN	441	Chepang	12b.18
261569	jik.si.ʔo	painful	adj	AH-CSDPN	441	Chepang	12b.19
261583	nyum.ʔo	savory	adj	AH-CSDPN	441	Chepang	12b.20
261596	brāʔ.ʔo	unsavory (taste)	adj	AH-CSDPN	441	Chepang	12b.21
261609	syok.ʔo	sweet (taste)	adj	AH-CSDPN	441	Chepang	12b.22
261620	rok.ʔo	hot / spicy (taste)	adj	AH-CSDPN	441	Chepang	12b.23
261633	srok.ʔo	sour	adj	AH-CSDPN	441	Chepang	12b.24
261646	kām.ʔo	bitter	adj	AH-CSDPN	441	Chepang	12b.25
261659	hlam.ʔo	salty (slightly)	adj	AH-CSDPN	441	Chepang	12b.26
261660	raw.ʔo	salty (much)	adj	AH-CSDPN	441	Chepang	12b.26
261674	hmaya.ʔo	fragrant ('specific')	adj	AH-CSDPN	441	Chepang	12b.27
261688	kus.ʔo	fetid ('specific')	adj	AH-CSDPN	441	Chepang	12b.28
261689	hlay.ʔo	fetid ('specific')	adj	AH-CSDPN	441	Chepang	12b.28
261703	ghor.ʔo	loud (voice)	adj	AH-CSDPN	441	Chepang	12b.29
261704	muk.ʔo	loud (noise)	adj	AH-CSDPN	441	Chepang	12b.29
261729	chengʔ.ʔo	high pitch[ed]	adj	AH-CSDPN	441	Chepang	12b.31
261742	ghor.ʔo	low pitch[ed]	adj	AH-CSDPN	441	Chepang	12b.32
261757	thong.ʔo	bright	adj	AH-CSDPN	441	Chepang	12b.33
261771	cyāk.ʔo	dark	adj	AH-CSDPN	441	Chepang	12b.34
261784	pliʔo	blue (light)	adj	AH-CSDPN	441	Chepang	12b.35
261785	ngālʔ.ʔo	blue (dark)	adj	AH-CSDPN	441	Chepang	12b.35
261798	phut.ʔo	brown (light)	adj	AH-CSDPN	441	Chepang	12b.36
261799	jhik.ʔo	brown (dark)	adj	AH-CSDPN	441	Chepang	12b.36
261812	cāʔ.ʔo	variegated	adj	AH-CSDPN	441	Chepang	12b.37
261813	srāʔ.ʔo	variegated	adj	AH-CSDPN	441	Chepang	12b.37
261837	chiʔ.ʔo	spotted	adj	AH-CSDPN	441	Chepang	12b.39
261850	rayh.ʔo	striped	adj	AH-CSDPN	441	Chepang	12b.40
261862	syāw.ʔo	right (opposite of 'wrong')	adj	AH-CSDPN	441	Chepang	12b.41
261874	syāw.mā.lo	wrong	adj	AH-CSDPN	441	Chepang	12b.42
261887	dong.ʔo	true	adj	AH-CSDPN	441	Chepang	12b.43
261900	māʔ.ʔo	false	adj	AH-CSDPN	441	Chepang	12b.44
261917	dāh.ʔo	sufficient	adj	AH-CSDPN	441	Chepang	12b.45
261932	dāh.mā.lo	insufficient	adj	AH-CSDPN	441	Chepang	12b.46
261944	rew.ʔo	bad	adj	AH-CSDPN	441	Chepang	12b.47
261958	thut.ʔo	clean	adj	AH-CSDPN	441	Chepang	12b.48
261959	sar.ʔo	clean	adj	AH-CSDPN	441	Chepang	12b.48
261960	jaylanʔ.ʔo	clean / pure	adj	AH-CSDPN	441	Chepang	12b.48
261974	mahonggo	expensive	adj	AH-CSDPN	441	Chepang	12b.50
261975	cāk.ʔo	expensive	adj	AH-CSDPN	441	Chepang	12b.50
261989	sasto	cheap	adj	AH-CSDPN	441	Chepang	12b.51
261990	hā.ʔo	cheap	adj	AH-CSDPN	441	Chepang	12b.51
262003	yumh.si.ʔo	terrible	adj	AH-CSDPN	441	Chepang	12b.52
262018	kryā	desirable	adj	AH-CSDPN	441	Chepang	12b.53
262031	wānʔ.sā	bring	v	AH-CSDPN	441	Chepang	02b1.01
262047	wāng.sā	come	v	AH-CSDPN	441	Chepang	02b1.02
262060	dyāng.to wāng.sā	approach	v	AH-CSDPN	441	Chepang	02b1.03
262073	tena.sā	pull	v	AH-CSDPN	441	Chepang	02b1.04
262086	ʔāl.sā	go	v	AH-CSDPN	441	Chepang	02b1.05
262096	pok.sā	enter	v	AH-CSDPN	441	Chepang	02b1.06
262107	glyungh.sā	go out	v	AH-CSDPN	441	Chepang	02b1.07
262126	wikol.sā	go around	v	AH-CSDPN	441	Chepang	02b1.08
262144	kraw.sā	run away (out of fear) / escape	v	AH-CSDPN	441	Chepang	02b1.09
262145	jyāl.sā	run away (depart quickly)	v	AH-CSDPN	441	Chepang	02b1.09
262156	tyāk.sā	take / receive	v	AH-CSDPN	441	Chepang	02b1.10
262157	ʔālʔ.sā	take	v	AH-CSDPN	441	Chepang	02b1.10
262170	dhus.sā	push	v	AH-CSDPN	441	Chepang	02b1.11
262181	hlok.sā	send	v	AH-CSDPN	441	Chepang	02b1.12
262191	lanh.sā	ascend	v	AH-CSDPN	441	Chepang	02b1.13
262202	glyungh.sā	descend	v	AH-CSDPN	441	Chepang	02b1.14
262229	gulh.sā	follow	v	AH-CSDPN	441	Chepang	02b1.17
262239	gulh.sā	chase	v	AH-CSDPN	441	Chepang	02b1.18
262250	ngāyʔ.sā	catch	v	AH-CSDPN	441	Chepang	02b1.19
262260	cum.sā	hold	v	AH-CSDPN	441	Chepang	02b1.20
262277	runʔ.sā	draw back, cause to	v	AH-CSDPN	441	Chepang	02b1.21a
262287	waka.sā	reach for	v	AH-CSDPN	441	Chepang	02b1.22
262297	tyāk.sā	hold out / receive sthg	v	AH-CSDPN	441	Chepang	02b1.23
262307	hryut.sā	draw back / drag	v	AH-CSDPN	441	Chepang	02b1.24
262317	klyoy.sā	limp	v	AH-CSDPN	441	Chepang	02b1.25
262327	jyok.sā	jump up	v	AH-CSDPN	441	Chepang	02b1.26
262337	khe.sā	jump over	v	AH-CSDPN	441	Chepang	02b1.27
262338	cyol-sā	jump over	v	AH-CSDPN	441	Chepang	02b1.27
262349	jyos.sā	jump down	v	AH-CSDPN	441	Chepang	02b1.28
262361	tyāt.sā	jump across	v	AH-CSDPN	441	Chepang	02b1.29
262372	bāh.sā	crawl	v	AH-CSDPN	441	Chepang	02b1.30
262382	hil.sā	roll over	v	AH-CSDPN	441	Chepang	02b1.31
262397	tan.sā	run	v	AH-CSDPN	441	Chepang	02b1.32
262408	khurʔ.sā	stoop / bend down	v	AH-CSDPN	441	Chepang	02b1.33
262409	khungʔ.sā	stoop / bend down	v	AH-CSDPN	441	Chepang	02b1.33
262419	krengʔ.sā	stamp	v	AH-CSDPN	441	Chepang	02b1.34
262420	kāh.sā	stamp	v	AH-CSDPN	441	Chepang	02b1.34
262432	jho.sā	step on	v	AH-CSDPN	441	Chepang	02b1.35
262445	nyā.sā	press down	v	AH-CSDPN	441	Chepang	02b1.36
262446	ningʔ.sā	press down	v	AH-CSDPN	441	Chepang	02b1.36
262462	ghān.sā	strike	v	AH-CSDPN	441	Chepang	02b1.37
262463	kās.sā	strike	v	AH-CSDPN	441	Chepang	02b1.37
262464	ghas.sā	strike	v	AH-CSDPN	441	Chepang	02b1.37
262475	wāy.sā	throw away	v	AH-CSDPN	441	Chepang	02b1.38
262486	tāna.sā	stretch	vi	AH-CSDPN	441	Chepang	02b1.39
262497	ringh.sā	tremble	v	AH-CSDPN	441	Chepang	02b1.40
262507	grinʔ.sā	jerk (from fright)	v	AH-CSDPN	441	Chepang	02b1.41
262517	ʔaʔ.la.sā	swing	v	AH-CSDPN	441	Chepang	02b1.42
262527	plawʔ.sā	turn over	v	AH-CSDPN	441	Chepang	02b1.43
262537	dyānh.sā	turn back	v	AH-CSDPN	441	Chepang	02b1.44
262547	lanh.sā	climb	v	AH-CSDPN	441	Chepang	02b1.45
262560	thung.sā	collide	v	AH-CSDPN	441	Chepang	02b1.46
262570	tyāt.sā	cross (river)	v	AH-CSDPN	441	Chepang	02b1.47
262580	prayh.sā	swim	v	AH-CSDPN	441	Chepang	02b1.48
262590	lyungh.sā	wait	v	AH-CSDPN	441	Chepang	02b1.49
262600	diʔ.sā	stop	v	AH-CSDPN	441	Chepang	02b1.50
262610	sāmh.sā	feel (by touch)	v	AH-CSDPN	441	Chepang	02b1.51
262620	dinh.sā	touch	v	AH-CSDPN	441	Chepang	02b1.52
262631	sāngh.sā	move / stir	vi	AH-CSDPN	441	Chepang	02b1.53
262642	pi.sā	move to other place	v	AH-CSDPN	441	Chepang	02b1.54
262651	loy.sā	shift (sthg)	v	AH-CSDPN	441	Chepang	02b1.54a
262662	hlek.sā	slip	v	AH-CSDPN	441	Chepang	02b1.55
262674	ton.sā	fall over	v	AH-CSDPN	441	Chepang	02b1.56
262684	kwenh.sā	stumble	v	AH-CSDPN	441	Chepang	02b1.57
262697	dyās.sā	fall down	v	AH-CSDPN	441	Chepang	02b1.58
262698	gleʔ.sā	fall down	v	AH-CSDPN	441	Chepang	02b1.58
262708	cyok.sā	get up	vi	AH-CSDPN	441	Chepang	02b1.59
262718	rot.sā	pick up	v	AH-CSDPN	441	Chepang	02b1.59a
262729	jok.sā	hurry	v	AH-CSDPN	441	Chepang	02b1.60
262739	krengʔ.sā	kick	v	AH-CSDPN	441	Chepang	02b1.61
262750	hlaʔnga.sā	shake	v	AH-CSDPN	441	Chepang	02b1.62
262762	ringh.sā	shiver	v	AH-CSDPN	441	Chepang	02b1.63
262773	kayk klayh.sā	nod (with head)	v	AH-CSDPN	441	Chepang	02b1.64
262784	parha.sā	read	v	AH-CSDPN	441	Chepang	10b2.01
262794	lekha.sā	write	v	AH-CSDPN	441	Chepang	10b2.02
262805	syān.sā	learn	v	AH-CSDPN	441	Chepang	10b2.03
262841	khun.ti noʔ.sā	repeat	v	AH-CSDPN	441	Chepang	10b2.07
262850	hlāk.sā	recite	v	AH-CSDPN	441	Chepang	10b2.08
262851	mayh.sā	recite	v	AH-CSDPN	441	Chepang	10b2.08
262870	gila.sā	remember	v	AH-CSDPN	441	Chepang	10b2.10
262881	hmeʔ.sā	forget	v	AH-CSDPN	441	Chepang	10b2.11
262893	hmar.sā	think	v	AH-CSDPN	441	Chepang	10b2.12
262913	cyawʔ.sā	see	v	AH-CSDPN	441	Chepang	10b2.14
262914	chyāyn.sā	see	v	AH-CSDPN	441	Chepang	10b2.14
262925	yo.sā	look at	v	AH-CSDPN	441	Chepang	10b2.15
262936	ghār.sā	compare	v	AH-CSDPN	441	Chepang	10b2.16
262946	ʔowʔ.ta.leʔ mu.nā	resemble	v	AH-CSDPN	441	Chepang	10b2.17
262955	chyānh.sā	describe	v	AH-CSDPN	441	Chepang	10b2.18
262969	tayh.sā	know	v	AH-CSDPN	441	Chepang	10b2.19
262987	wel.sā	examine	v	AH-CSDPN	441	Chepang	10b2.21
262998	theng-sā	count	v	AH-CSDPN	441	Chepang	10b2.22
263033	tyut.sā	draw (opposite of 'erase')	v	AH-CSDPN	441	Chepang	10b2.26
263043	mih.sā	erase	v	AH-CSDPN	441	Chepang	10b2.27
263067	hwak.sā	understand	v	AH-CSDPN	441	Chepang	10b2.30
263077	syāh.sā	dance	v	AH-CSDPN	441	Chepang	11b1.01
263087	sāngh.sā	play	v	AH-CSDPN	441	Chepang	11b1.02
263097	me.sā	sing	v	AH-CSDPN	441	Chepang	11b1.03
263107	huyk.sā	whistle	v	AH-CSDPN	441	Chepang	11b1.04
263125	tāyk.sā	beat (a drum)	v	AH-CSDPN	441	Chepang	11b1.06
263137	pray.sā	play (an instrument)	v	AH-CSDPN	441	Chepang	11b1.07
263146	goʔ.sā	sound	v	AH-CSDPN	441	Chepang	11b1.08
263167	proh tāyk-sā	clap (hands)	v	AH-CSDPN	441	Chepang	11b1.10
263187	krus.lāng ʔāl.sā	visit	v	AH-CSDPN	441	Chepang	11b1.12
263215	byāl noʔ.sā	joke	v	AH-CSDPN	441	Chepang	11b1.15
263240	ʔambal tung.sā	smoke (i.e., tobacco, of a person	v	AH-CSDPN	441	Chepang	11b1.17
263259	hān ngo.sā	drunk, get	v	AH-CSDPN	441	Chepang	11b1.19
263269	thoyʔ.sā	travel	v	AH-CSDPN	441	Chepang	11b1.20
263270	tomʔ.sā	travel	v	AH-CSDPN	441	Chepang	11b1.20
263281	kuryāw.sā	prepare	v	AH-CSDPN	441	Chepang	11b1.21
263301	wāh.sā	walk	v	AH-CSDPN	441	Chepang	11b1.23
263314	byāh.sā	wander	v	AH-CSDPN	441	Chepang	11b1.24
263324	hlet.sā	overtake	v	AH-CSDPN	441	Chepang	11b1.25
263334	cyol.sā	pass by	v	AH-CSDPN	441	Chepang	11b1.26
263344	do.sā	point	v	AH-CSDPN	441	Chepang	11b1.27
263356	lāt.tāk.sā	load	v	AH-CSDPN	441	Chepang	11b1.28
263366	ningʔ.sā	cram into	v	AH-CSDPN	441	Chepang	11b1.29
263378	lāt.sā	carry	v	AH-CSDPN	441	Chepang	11b1.30
263388	bhe.sā	leave / start out	v	AH-CSDPN	441	Chepang	11b1.31
263399	phe.sā	leave behind	v	AH-CSDPN	441	Chepang	11b1.32
263411	nyās.sā	rest	v	AH-CSDPN	441	Chepang	11b1.33
263423	dāh.sā	reach there	v	AH-CSDPN	441	Chepang	11b1.34
263433	dāh.sā	arrive here	v	AH-CSDPN	441	Chepang	11b1.35
263445	dyānh.sā	return	v	AH-CSDPN	441	Chepang	11b1.36
263446	pāyh.sā	return (to one's own home)	v	AH-CSDPN	441	Chepang	11b1.36
263466	leʔ.sā	buy	v	AH-CSDPN	441	Chepang	11b2.01
263476	winʔ.sā	sell	v	AH-CSDPN	441	Chepang	11b2.02
263498	pāyk.sā	repay loan	v	AH-CSDPN	441	Chepang	11b2.04
263510	sāpat bayʔ.sā	lend money	v	AH-CSDPN	441	Chepang	11b2.05
263522	sāpat tyāk.sā	borrow money	v	AH-CSDPN	441	Chepang	11b2.06
263533	bayʔ.ʔāk.sā	lend things	v	AH-CSDPN	441	Chepang	11b2.07
263544	tyāk.ʔāk.sā	borrow things	v	AH-CSDPN	441	Chepang	11b2.08
263554	loykāy.sā	exchange money	v	AH-CSDPN	441	Chepang	11b2.09
263566	loykāy.sā	barter	v	AH-CSDPN	441	Chepang	11b2.10
263584	kelʔ.sā	earn	v	AH-CSDPN	441	Chepang	11b2.12
263596	lāng.sā	weigh	v	AH-CSDPN	441	Chepang	11b2.13
263606	cāk.to syaw.sā	increase (of prices)	v	AH-CSDPN	441	Chepang	11b2.14
263616	hā.to syāw.sā	decrease	v	AH-CSDPN	441	Chepang	11b2.15
263637	bihā jāngh.sā	marry	v	AH-CSDPN	441	Chepang	11b2.17
263645	bihā boy khām.ti	marriage, give in	v	AH-CSDPN	441	Chepang	11b2.18
263654	thagan jāngh.sā	settle (marriage)	v	AH-CSDPN	441	Chepang	11b2.19
263664	singkā tāt.sā	divorce	v	AH-CSDPN	441	Chepang	11b2.20
263677	phe.sā	desert	v	AH-CSDPN	441	Chepang	11b2.21
263689	ʔarh.sā	defiled	vi	AH-CSDPN	441	Chepang	11b2.22
263690	blāyk.sā	defiled	vi	AH-CSDPN	441	Chepang	11b2.22
263691	kri.sā	defiled	vi	AH-CSDPN	441	Chepang	11b2.22
263699	jay.lauʔ.sā	purification, fulfill works of	v	AH-CSDPN	441	Chepang	11b2.23
263708	jes.sā	sprinkle (water of purificatio	v	AH-CSDPN	441	Chepang	11b2.24
263736	pāmh.sā	bury	v	AH-CSDPN	441	Chepang	11b2.27
263757	weʔ.sā	divide	v	AH-CSDPN	441	Chepang	11b2.29
263768	bo.sā	share	v	AH-CSDPN	441	Chepang	11b2.30
263778	dok.sā	own	v	AH-CSDPN	441	Chepang	11b2.31
263787	kelʔ.sā	serve (a master)	v	AH-CSDPN	441	Chepang	11b2.32
263797	to.ti gam.sā	swear oath	v	AH-CSDPN	441	Chepang	11b2.33
263808	hum.sā	assemble	v	AH-CSDPN	441	Chepang	11b2.34
263836	māl.pot humʔ.sā	collect taxes	v	AH-CSDPN	441	Chepang	11b2.37
263855	kuʔ.sā	steal	v	AH-CSDPN	441	Chepang	11b3.02
263866	lā.ti kuʔ.sā	plunder	v	AH-CSDPN	441	Chepang	11b3.03
263878	minh.sā	attack	v	AH-CSDPN	441	Chepang	11b3.04
263889	hāl.kāy.sā	insult	v	AH-CSDPN	441	Chepang	11b3.05
263905	ʔulkā jāngh.sā	transgress	v	AH-CSDPN	441	Chepang	11b3.07
263937	hwat.sā	interrogate	v	AH-CSDPN	441	Chepang	11b3.10
263945	māʔ.ti tyāng.sā	deny (falsely)	v	AH-CSDPN	441	Chepang	11b3.11
264003	phe.sā	release	v	AH-CSDPN	441	Chepang	11b3.17
264013	krawʔ.sā	flee	v	AH-CSDPN	441	Chepang	11b3.18
264023	bet.sā	escape	v	AH-CSDPN	441	Chepang	11b3.19
264033	nyumh.tāk.sā	avenge	v	AH-CSDPN	441	Chepang	11b3.20
264060	dāyh-sā	tell	v	AH-CSDPN	441	Chepang	10b1.01
264061	to.sā	tell	v	AH-CSDPN	441	Chepang	10b1.01
264072	noʔ.kāy.sā	talk	v	AH-CSDPN	441	Chepang	10b1.02
264083	noʔ.sā	speak (a language)	v	AH-CSDPN	441	Chepang	10b1.03
264084	goʔ.sā	speak (a language)	v	AH-CSDPN	441	Chepang	10b1.03
264102	pāp.sā	stutter	v	AH-CSDPN	441	Chepang	10b1.05
264113	chāngh.sā	whisper	v	AH-CSDPN	441	Chepang	10b1.06
264122	ryāwh.sā	murmur	v	AH-CSDPN	441	Chepang	10b1.07
264138	hih.sā	scream	v	AH-CSDPN	441	Chepang	10b1.09
264148	hāyh.sā	shout	v	AH-CSDPN	441	Chepang	10b1.10
264158	byālʔ.noʔ.ti chyānh.sā	exaggerate	v	AH-CSDPN	441	Chepang	10b1.11
264167	byālʔ.noʔti chyānh.sā	boast	v	AH-CSDPN	441	Chepang	10b1.12
264180	ghām.sā	agree	v	AH-CSDPN	441	Chepang	10b1.13
264190	syān.sā	advise	v	AH-CSDPN	441	Chepang	10b1.14
264200	hwat.sā	ask	v	AH-CSDPN	441	Chepang	10b1.15
264211	tyāng.-sā	answer	v	AH-CSDPN	441	Chepang	10b1.16
264221	sāyʔ.sā	listen	v	AH-CSDPN	441	Chepang	10b1.17
264222	ghiʔ.sā	listen	v	AH-CSDPN	441	Chepang	10b1.17
264241	gyāʔ.sā	obey	v	AH-CSDPN	441	Chepang	10b1.19
264242	roʔ.tāk.sā	obey	v	AH-CSDPN	441	Chepang	10b1.19
264252	syo.sā	request	v	AH-CSDPN	441	Chepang	10b1.20
264263	te.sā	beg	v	AH-CSDPN	441	Chepang	10b1.21
264271	bringh.sā	persist	v	AH-CSDPN	441	Chepang	10b1.22
264283	gyā.tāk.sā	persuade	v	AH-CSDPN	441	Chepang	10b1.23
264294	bāʔ.tāk.sā	force	v	AH-CSDPN	441	Chepang	10b1.24
264304	ʔawʔsā	threaten	v	AH-CSDPN	441	Chepang	10b1.25
264313	'unculāq.sā	tempt	v	AH-CSDPN	441	Chepang	10b1.26
264314	bāyk.sā	tempt	v	AH-CSDPN	441	Chepang	10b1.26
264323	chyok.sā	seduce	v	AH-CSDPN	441	Chepang	10b1.27
264341	noʔ.kāy.sā	discuss	v	AH-CSDPN	441	Chepang	10b1.29
264351	hwak-sā	understand	v	AH-CSDPN	441	Chepang	10b1.30
264352	tayh.sā	understand	v	AH-CSDPN	441	Chepang	10b1.30
264363	bācā jāngh.sā	promise	v	AH-CSDPN	441	Chepang	10b1.31
264376	bra.sā	omit / err	v	AH-CSDPN	441	Chepang	10b1.32
264383	gho.sā	admit	v	AH-CSDPN	441	Chepang	10b1.33
264394	lih.sā	regret	v	AH-CSDPN	441	Chepang	10b1.34
264403	wāh.ʔo phe.sā	repent	v	AH-CSDPN	441	Chepang	10b1.35
264413	thing.sā	warned, become	v	AH-CSDPN	441	Chepang	10b1.36
264423	ryomʔ.sā	protect / make thorn barrier	v	AH-CSDPN	441	Chepang	10b1.37
264434	syāk.sā	spared	vi	AH-CSDPN	441	Chepang	10b1.38
264444	hngām.sā	trust	v	AH-CSDPN	441	Chepang	10b1.39
264464	bayʔ.sā	give	v	AH-CSDPN	441	Chepang	10b1.41
264475	gyānʔ.ti pā	give back	v	AH-CSDPN	441	Chepang	10b1.42
264493	phe.sā	give up	v	AH-CSDPN	441	Chepang	10b1.44
264503	syawa.sā	greet	v	AH-CSDPN	441	Chepang	10b1.45
264515	lyungh.sā	guard	v	AH-CSDPN	441	Chepang	10b1.46
264525	kelʔ.sā	help	v	AH-CSDPN	441	Chepang	10b1.47
264535	krus.sā	meet	v	AH-CSDPN	441	Chepang	10b1.48
264555	khol.kāy	embrace	v	AH-CSDPN	441	Chepang	10b1.50
264564	tumʔ.sā	kiss	v	AH-CSDPN	441	Chepang	10b1.51
264575	rāp-sā	love	v	AH-CSDPN	441	Chepang	10b1.52
264585	kres.sā	mourn	v	AH-CSDPN	441	Chepang	10b1.53
264594	yonʔ.sā	pity (smn)	v	AH-CSDPN	441	Chepang	10b1.54
264604	tayh.sā	know (smn)	v	AH-CSDPN	441	Chepang	10b1.55
264614	got.sā	come, order to	v	AH-CSDPN	441	Chepang	10b1.56
264624	te.sā	beg	v	AH-CSDPN	441	Chepang	10b1.57
264655	hukum jāngh.sā	command	v	AH-CSDPN	441	Chepang	10b1.60
264665	samscār hlokti chyān.sˉ	spread news	vi	AH-CSDPN	441	Chepang	10b1.61
264677	chyān.sā	complain	v	AH-CSDPN	441	Chepang	10b1.62
