ID	GLOSS	SRCID
Hale-1973-1798-190	accompany	02b1.15
Hale-1973-1798-191	escort	02b1.16
Hale-1973-1798-192	follow	02b1.17
Hale-1973-1798-193	chase	02b1.18
Hale-1973-1798-194	catch	02b1.19
Hale-1973-1798-195	hold	02b1.20
Hale-1973-1798-196	draw back	02b1.21
Hale-1973-1798-197	cause to draw back	02b1.21a
Hale-1973-1798-198	reach for	02b1.22
Hale-1973-1798-199	hold out	02b1.23
Hale-1973-1798-200	draw back	02b1.24
Hale-1973-1798-201	limp	02b1.25
Hale-1973-1798-202	jump up	02b1.26
Hale-1973-1798-203	jump over	02b1.27
Hale-1973-1798-204	jump down	02b1.28
Hale-1973-1798-205	jump across	02b1.29
Hale-1973-1798-206	crawl	02b1.30
Hale-1973-1798-207	roll over	02b1.31
Hale-1973-1798-208	run	02b1.32
Hale-1973-1798-209	stoop (bend down)	02b1.33
Hale-1973-1798-210	stamp	02b1.34
Hale-1973-1798-211	step on	02b1.35
Hale-1973-1798-212	press down	02b1.36
Hale-1973-1798-213	strike	02b1.37
Hale-1973-1798-214	throw away	02b1.38
Hale-1973-1798-215	stretch (itr)	02b1.39
Hale-1973-1798-216	tremble	02b1.40
Hale-1973-1798-217	jerk (because of fright)	02b1.41
Hale-1973-1798-218	swing	02b1.42
Hale-1973-1798-219	turn over	02b1.43
Hale-1973-1798-220	turn back	02b1.44
Hale-1973-1798-221	climb	02b1.45
Hale-1973-1798-222	collide	02b1.46
Hale-1973-1798-223	cross (river)	02b1.47
Hale-1973-1798-224	swim	02b1.48
Hale-1973-1798-225	wait	02b1.49
Hale-1973-1798-226	stop	02b1.50
Hale-1973-1798-227	feel (by touch)	02b1.51
Hale-1973-1798-228	touch	02b1.52
Hale-1973-1798-229	move, stir (itr)	02b1.53
Hale-1973-1798-230	move to other place	02b1.54
Hale-1973-1798-231	shift s.th.	02b1.54a
Hale-1973-1798-232	slip	02b1.55
Hale-1973-1798-233	fall over	02b1.56
Hale-1973-1798-234	stumble	02b1.57
Hale-1973-1798-235	fall down	02b1.58
Hale-1973-1798-236	get up (itr)	02b1.59
Hale-1973-1798-237	pick up	02b1.59a
Hale-1973-1798-238	hurry	02b1.60
Hale-1973-1798-239	kick	02b1.61
Hale-1973-1798-240	shake	02b1.62
Hale-1973-1798-241	shiver	02b1.63
Hale-1973-1798-242	nod (with head)	02b1.64
Hale-1973-1798-243	belch	02b2.01
Hale-1973-1798-244	blink	02b2.02
Hale-1973-1798-245	blow (with mouth)	02b2.03
Hale-1973-1798-246	blow nose	02b2.04
Hale-1973-1798-247	clear throat	02b2.05
Hale-1973-1798-248	spit	02b2.06
Hale-1973-1798-249	defecate	02b2.07
Hale-1973-1798-250	urinate	02b2.08
Hale-1973-1798-251	yawn	02b2.09
Hale-1973-1798-252	smell (sense odor)	02b2.10
Hale-1973-1798-253	be born	02b2.11
Hale-1973-1798-254	give birth	02b2.11a
Hale-1973-1798-255	conceive (become pregnant)	02b2.12
Hale-1973-1798-256	have sexual intercourse	02b2.13
Hale-1973-1798-257	die	02b2.14
Hale-1973-1798-258	kill	02b2.14a
Hale-1973-1798-259	tire	02b2.15
Hale-1973-1798-260	sleep	02b2.16
Hale-1973-1798-261	lie down	02b2.17
Hale-1973-1798-262	snore	02b2.18
Hale-1973-1798-263	wake up (itr)	02b2.19
Hale-1973-1798-264	breathe	02b2.20
Hale-1973-1798-265	pant	02b2.21
Hale-1973-1798-266	hiccup	02b2.22
Hale-1973-1798-267	beat (heart)	02b2.23
Hale-1973-1798-268	bleed	02b2.24
Hale-1973-1798-269	faint	02b2.25
Hale-1973-1798-270	cough	02b2.26
Hale-1973-1798-271	sneeze	02b2.27
Hale-1973-1798-272	itch	02b2.28
Hale-1973-1798-273	vomit	02b2.29
Hale-1973-1798-274	be numb	02b2.30
Hale-1973-1798-275	prickle	02b2.31
Hale-1973-1798-276	live	02b2.32
Hale-1973-1798-277	bathe	02b2.33
Hale-1973-1798-278	shave	02b2.34
Hale-1973-1798-279	massage	02b2.35
Hale-1973-1798-280	rub in (oil)	02b2.36
Hale-1973-1798-281	comb hair	02b2.37
Hale-1973-1798-282	cut hair	02b2.38
Hale-1973-1798-283	make up	02b2.39
Hale-1973-1798-284	scratch	02b2.40
Hale-1973-1798-285	gargle	02b2.41
Hale-1973-1798-286	warm (o.s. by fire)	02b2.42
Hale-1973-1798-287	get wounded	02b2.43
Hale-1973-1798-288	wound s.b.	02b2.43a
Hale-1973-1798-289	hurt	02b2.44
Hale-1973-1798-290	swell	02b2.45
Hale-1973-1798-291	endure	02b2.46
Hale-1973-1798-292	heal (wound)	02b2.47
Hale-1973-1798-293	get well (recover)	02b2.48
Hale-1973-1798-294	treat	02b2.49
Hale-1973-1798-295	twist (a limb)	02b2.50
Hale-1973-1798-296	sprain (a limb)	02b2.51
Hale-1973-1798-297	groan	02b2.52
Hale-1973-1798-298	animal	03a.001
Hale-1973-1798-299	rooster	03a.002
Hale-1973-1798-300	hen	03a.003
Hale-1973-1798-301	chick	03a.004
Hale-1973-1798-302	comb	03a.005
Hale-1973-1798-303	duck	03a.006
Hale-1973-1798-304	pigeon	03a.007
Hale-1973-1798-305	pheasant	03a.008
Hale-1973-1798-306	peacock	03a.009
Hale-1973-1798-307	sparrow	03a.010
Hale-1973-1798-308	swallow	03a.011
Hale-1973-1798-309	bill	03a.012
Hale-1973-1798-310	nest	03a.013
Hale-1973-1798-311	wing	03a.014
Hale-1973-1798-312	parrot	03a.015
Hale-1973-1798-313	crow	03a.016
Hale-1973-1798-314	blackbird	03a.017
Hale-1973-1798-315	woodpecker	03a.018
Hale-1973-1798-316	crane	03a.019
Hale-1973-1798-317	owl	03a.020
Hale-1973-1798-318	hawk	03a.021
Hale-1973-1798-319	eagle	03a.022
Hale-1973-1798-320	vulture	03a.023
Hale-1973-1798-321	large bat	03a.024
Hale-1973-1798-322	small bat	03a.025
Hale-1973-1798-323	fur	03a.026
Hale-1973-1798-324	buffalo	03a.027
Hale-1973-1798-325	buff. bull	03a.028
Hale-1973-1798-326	buff. cow	03a.029
Hale-1973-1798-327	buff. calf	03a.030
Hale-1973-1798-328	cattle	03a.031
Hale-1973-1798-329	hoof	03a.032
Hale-1973-1798-330	bull	03a.033
Hale-1973-1798-331	cow	03a.034
Hale-1973-1798-332	calf	03a.035
Hale-1973-1798-333	goat	03a.036
Hale-1973-1798-334	billy	03a.037
Hale-1973-1798-335	nanny	03a.038
Hale-1973-1798-336	kid	03a.039
Hale-1973-1798-337	sheep	03a.040
Hale-1973-1798-338	hog	03a.041
Hale-1973-1798-339	boar	03a.042
Hale-1973-1798-340	snout	03a.043
Hale-1973-1798-341	horse	03a.044
Hale-1973-1798-342	donkey	03a.045
Hale-1973-1798-343	yak	03a.046
Hale-1973-1798-344	rhinoceros	03a.047
Hale-1973-1798-345	cat	03a.048
Hale-1973-1798-346	whiskers	03a.049
Hale-1973-1798-347	rat	03a.050
Hale-1973-1798-348	shrew	03a.051
Hale-1973-1798-349	squirrel	03a.052
Hale-1973-1798-350	monkey	03a.053
Hale-1973-1798-351	elephant	03a.054
Hale-1973-1798-352	trunk	03a.055
Hale-1973-1798-353	tusks	03a.056
Hale-1973-1798-354	deer	03a.057
Hale-1973-1798-355	antelope	03a.058
Hale-1973-1798-356	fox	03a.059
Hale-1973-1798-357	jackal	03a.060
Hale-1973-1798-358	mongoose	03a.061
Hale-1973-1798-359	bear	03a.062
Hale-1973-1798-360	tiger	03a.063
Hale-1973-1798-361	leopard	03a.064
Hale-1973-1798-362	lizard	03a.065
Hale-1973-1798-363	frog	03a.066
Hale-1973-1798-364	toad	03a.067
Hale-1973-1798-365	turtle	03a.068
Hale-1973-1798-366	big snake	03a.069
Hale-1973-1798-367	small snake	03a.070
Hale-1973-1798-368	snail	03a.071
Hale-1973-1798-369	shell	03a.072
Hale-1973-1798-370	scorpion	03a.073
Hale-1973-1798-371	sting	03a.074
Hale-1973-1798-372	centipede	03a.075
Hale-1973-1798-373	land leech	03a.076
Hale-1973-1798-374	water leech	03a.077
Hale-1973-1798-375	grub	03a.078
Hale-1973-1798-376	caterpillar	03a.079
Hale-1973-1798-377	earthworm	03a.080
Hale-1973-1798-378	spider	03a.081
Hale-1973-1798-379	web	03a.082
Hale-1973-1798-380	fly	03a.083
Hale-1973-1798-381	mosquito	03a.084
Hale-1973-1798-382	ant	03a.085
Hale-1973-1798-383	flying ant	03a.086
Hale-1973-1798-384	body louse	03a.087
Hale-1973-1798-385	louse egg	03a.088
Hale-1973-1798-386	flea	03a.089
Hale-1973-1798-387	bed bug	03a.090
Hale-1973-1798-388	dragonfly	03a.091
Hale-1973-1798-389	moth	03a.092
Hale-1973-1798-390	butterfly	03a.093
Hale-1973-1798-391	firefly	03a.094
Hale-1973-1798-392	cockroach	03a.095
Hale-1973-1798-393	grasshopper	03a.096
Hale-1973-1798-394	wasp	03a.097
Hale-1973-1798-395	bee	03a.098
Hale-1973-1798-396	hive	03a.099
Hale-1973-1798-397	honey	03a.100
Hale-1973-1798-398	bark	03b.01
Hale-1973-1798-399	growl	03b.02
Hale-1973-1798-400	howl	03b.03
Hale-1973-1798-401	bite	03b.04
Hale-1973-1798-402	sniff	03b.05
Hale-1973-1798-403	gnaw	03b.06
Hale-1973-1798-404	lick	03b.07
Hale-1973-1798-405	grit (teeth)	03b.08
Hale-1973-1798-406	fly	03b.09
Hale-1973-1798-407	alight	03b.10
Hale-1973-1798-408	perch	03b.11
Hale-1973-1798-409	peck	03b.12
Hale-1973-1798-410	chirp	03b.13
Hale-1973-1798-411	lay egg	03b.14
Hale-1973-1798-412	cackle	03b.15
Hale-1973-1798-413	brood	03b.16
Hale-1973-1798-414	hatch	03b.17
Hale-1973-1798-415	bite (snake)	03b.18
Hale-1973-1798-416	hiss	03b.19
Hale-1973-1798-417	sting (insects)	03b.20
Hale-1973-1798-418	crow (cock)	03b.21
Hale-1973-1798-419	hum (insects)	03b.22
Hale-1973-1798-420	drive away	03b.23
Hale-1973-1798-421	run after	03b.24
Hale-1973-1798-422	snatch away	03b.25
Hale-1973-1798-423	hunt	03b.26
Hale-1973-1798-424	aim at	03b.27
Hale-1973-1798-425	shoot	03b.28
Hale-1973-1798-426	miss	03b.29
Hale-1973-1798-427	catch (trap)	03b.30
Hale-1973-1798-428	skin	03b.31
Hale-1973-1798-429	singe	03b.32
Hale-1973-1798-430	graze	03b.33
Hale-1973-1798-431	drive	03b.34
Hale-1973-1798-432	lead	03b.35
Hale-1973-1798-433	tether	03b.36
Hale-1973-1798-434	get loose	03b.37
Hale-1973-1798-435	go astray	03b.38
Hale-1973-1798-436	wallow	03b.39
Hale-1973-1798-437	ruminate	03b.40
Hale-1973-1798-438	milk a cow	03b.41
Hale-1973-1798-439	fight (animals)	03b.42
Hale-1973-1798-440	bellow (bull)	03b.43
Hale-1973-1798-441	ride	03b.44
Hale-1973-1798-442	neigh	03b.45
Hale-1973-1798-443	give birth	03b.46
Hale-1973-1798-444	castrate goats	03b.47
Hale-1973-1798-445	castrate bulls	03b.48
Hale-1973-1798-446	shear sheep	03b.49
Hale-1973-1798-447	pen up	03b.50
Hale-1973-1798-448	plant	04a.01
Hale-1973-1798-449	stalk	04a.02
Hale-1973-1798-450	shrub	04a.03
Hale-1973-1798-451	vine	04a.04
Hale-1973-1798-452	cactus	04a.05
Hale-1973-1798-453	thorn	04a.06
Hale-1973-1798-454	wood	04a.07
Hale-1973-1798-455	sap	04a.08
Hale-1973-1798-456	branch	04a.09
Hale-1973-1798-457	twig	04a.10
Hale-1973-1798-458	stump	04a.11
Hale-1973-1798-459	sapling	04a.12
Hale-1973-1798-460	flower	04a.13
Hale-1973-1798-461	pollen	04a.14
Hale-1973-1798-462	perfume	04a.15
Hale-1973-1798-463	fruit	04a.16
Hale-1973-1798-464	guava	04a.17
Hale-1973-1798-465	banana	04a.18
Hale-1973-1798-466	tomato	04a.19
Hale-1973-1798-467	reed	04a.20
Hale-1973-1798-468	weed	04a.21
Hale-1973-1798-469	hay	04a.22
Hale-1973-1798-470	rice straw	04a.23
Hale-1973-1798-471	wheat straw	04a.24
Hale-1973-1798-472	fine chaff	04a.25
Hale-1973-1798-473	corn	04a.26
Hale-1973-1798-474	corn ear	04a.27
Hale-1973-1798-475	corn husk	04a.28
Hale-1973-1798-476	unhusked rice	04a.29
Hale-1973-1798-477	paddy ear	04a.30
Hale-1973-1798-478	coarse chaff	04a.31
Hale-1973-1798-479	paddy plant	04a.32
Hale-1973-1798-480	millet	04a.33
Hale-1973-1798-481	barley	04a.34
Hale-1973-1798-482	wheat	04a.35
Hale-1973-1798-483	nettle	04a.36
Hale-1973-1798-484	vegetable	04a.37
Hale-1973-1798-485	onion	04a.38
Hale-1973-1798-486	garlic	04a.39
Hale-1973-1798-487	ginger	04a.40
Hale-1973-1798-488	sweet potato	04a.41
Hale-1973-1798-489	potato	04a.42
Hale-1973-1798-490	raddish	04a.43
Hale-1973-1798-491	pumpkin	04a.44
Hale-1973-1798-492	gourd	04a.45
Hale-1973-1798-493	mustard	04a.46
Hale-1973-1798-494	okra	04a.47
Hale-1973-1798-495	white bean	04a.48
Hale-1973-1798-496	soya bean	04a.49
Hale-1973-1798-497	string bean	04a.50
Hale-1973-1798-498	pea	04a.51
Hale-1973-1798-499	chilli	04a.52
Hale-1973-1798-500	cucumber	04a.53
Hale-1973-1798-501	mushroom	04a.54
Hale-1973-1798-502	tobacco	04a.55
Hale-1973-1798-503	betel	04a.56
Hale-1973-1798-504	moss	04a.57
Hale-1973-1798-505	grass	04a.58
Hale-1973-1798-506	bamboo	04a.59
Hale-1973-1798-507	bamboo shoots	04a.60
Hale-1973-1798-508	bamboo joint	04a.61
Hale-1973-1798-509	seed bed	04a.62
Hale-1973-1798-510	wet field	04a.63
Hale-1973-1798-511	dry field	04a.64
Hale-1973-1798-512	bear fruit	04b.01
Hale-1973-1798-513	bloom	04b.02
Hale-1973-1798-514	small (flower)	04b.03
Hale-1973-1798-515	ripen	04b.04
Hale-1973-1798-516	fall off	04b.05
Hale-1973-1798-517	spoil	04b.06
Hale-1973-1798-518	stink	04b.07
Hale-1973-1798-519	sprout	04b.08
Hale-1973-1798-520	germinate	04b.09
Hale-1973-1798-521	prick (thorn)	04b.10
Hale-1973-1798-522	scratch (thorn)	04b.11
Hale-1973-1798-523	wither	04b.12
Hale-1973-1798-524	fall	04b.13
Hale-1973-1798-525	fell	04b.13a
Hale-1973-1798-526	prune	04b.14
Hale-1973-1798-527	plant	04b.15
Hale-1973-1798-528	uproot	04b.16
Hale-1973-1798-529	cut bark off	04b.17
Hale-1973-1798-530	pick	04b.18
Hale-1973-1798-531	sow	04b.19
Hale-1973-1798-532	plow	04b.20
Hale-1973-1798-533	dig	04b.21
Hale-1973-1798-534	clear field (for first cultivation)	04b.22
Hale-1973-1798-535	cultivate	04b.23
Hale-1973-1798-536	irrigate	04b.24
Hale-1973-1798-537	plough wet field	04b.25
Hale-1973-1798-538	break clods	04b.26
Hale-1973-1798-539	weed	04b.27
Hale-1973-1798-540	break wet clods	04b.28
Hale-1973-1798-541	hire (farm laborer)	04b.29
Hale-1973-1798-542	harvest	04b.30
Hale-1973-1798-543	stack up	04b.31
Hale-1973-1798-544	ripen (artificially in hot bed)	04b.32
Hale-1973-1798-545	thresh (rice and wheat)	04b.33
Hale-1973-1798-546	thresh (millet, etc.)	04b.34
Hale-1973-1798-547	winnow	04b.35
Hale-1973-1798-548	sort (separate kinds)	04b.36
Hale-1973-1798-549	spread	04b.37
Hale-1973-1798-550	plow (after putting manure)	04b.38
Hale-1973-1798-551	clean field	04b.39
Hale-1973-1798-552	thin out	04b.40
Hale-1973-1798-553	become fruitless	04b.41
Hale-1973-1798-554	shoot up	04b.42
Hale-1973-1798-555	world	05a.01
Hale-1973-1798-556	sky	05a.02
Hale-1973-1798-557	east	05a.03
Hale-1973-1798-558	west	05a.04
Hale-1973-1798-559	north	05a.05
Hale-1973-1798-560	south	05a.06
Hale-1973-1798-561	day	05a.07
Hale-1973-1798-562	dawn	05a.08
Hale-1973-1798-563	morning	05a.09
Hale-1973-1798-564	afternoon	05a.10
Hale-1973-1798-565	twilight	05a.11
Hale-1973-1798-566	evening	05a.12
Hale-1973-1798-567	week	05a.13
Hale-1973-1798-568	month	05a.14
Hale-1973-1798-569	full moon	05a.15
Hale-1973-1798-570	half moon	05a.16
Hale-1973-1798-571	new moon	05a.17
Hale-1973-1798-572	waning moon	05a.18
Hale-1973-1798-573	waxing moon	05a.19
Hale-1973-1798-574	year	05a.20
Hale-1973-1798-575	dry season	05a.21
Hale-1973-1798-576	wet season	05a.22
Hale-1973-1798-577	today	05a.23
Hale-1973-1798-578	last night	05a.24
Hale-1973-1798-579	yesterday	05a.25
Hale-1973-1798-580	day before (yesterday)	05a.26
Hale-1973-1798-581	tonight	05a.27
Hale-1973-1798-582	tomorrow	05a.28
Hale-1973-1798-583	day after (tomorrow)	05a.29
Hale-1973-1798-584	two days after (tomorrow)	05a.30
Hale-1973-1798-585	this year	05a.31
Hale-1973-1798-586	last year	05a.32
Hale-1973-1798-587	year before last	05a.33
Hale-1973-1798-588	next year	05a.34
Hale-1973-1798-589	year after next	05a.35
Hale-1973-1798-590	dew	05a.36
Hale-1973-1798-591	storm	05a.37
Hale-1973-1798-592	hail	05a.38
Hale-1973-1798-593	frost	05a.39
Hale-1973-1798-594	fog	05a.40
Hale-1973-1798-595	haze	05a.41
Hale-1973-1798-596	ice	05a.42
Hale-1973-1798-597	snow	05a.43
Hale-1973-1798-598	thunder	05a.44
Hale-1973-1798-599	lightning	05a.45
Hale-1973-1798-600	breeze	05a.46
Hale-1973-1798-601	wind	05a.47
Hale-1973-1798-602	whirlwind	05a.48
Hale-1973-1798-603	earthquake	05a.49
Hale-1973-1798-604	peak	05a.50
Hale-1973-1798-605	range	05a.51
Hale-1973-1798-606	cave	05a.52
Hale-1973-1798-607	slope	05a.53
Hale-1973-1798-608	cliff	05a.54
Hale-1973-1798-609	rock	05a.55
Hale-1973-1798-610	hill	05a.56
Hale-1973-1798-611	echo	05a.57
Hale-1973-1798-612	level ground	05a.58
Hale-1973-1798-613	valley	05a.59
Hale-1973-1798-614	saddle	05a.60
Hale-1973-1798-615	gulley	05a.61
Hale-1973-1798-616	hole	05a.62
Hale-1973-1798-617	spring	05a.63
Hale-1973-1798-618	well	05a.64
Hale-1973-1798-619	pool	05a.65
Hale-1973-1798-620	waterfall	05a.66
Hale-1973-1798-621	lake	05a.67
Hale-1973-1798-622	pond	05a.68
Hale-1973-1798-623	stream	05a.69
Hale-1973-1798-624	river	05a.70
Hale-1973-1798-625	bank	05a.71
Hale-1973-1798-626	ford	05a.72
Hale-1973-1798-627	bridge	05a.73
Hale-1973-1798-628	whirlpool	05a.74
Hale-1973-1798-629	rainbow	05a.75
Hale-1973-1798-630	be late	05b.01
Hale-1973-1798-631	potter about	05b.02
Hale-1973-1798-632	delay	05b.03
Hale-1973-1798-633	be early	05b.04
Hale-1973-1798-634	last (duration)	05b.05
Hale-1973-1798-635	pass (time)	05b.06
Hale-1973-1798-636	rise (sun)	05b.07
Hale-1973-1798-637	shine (sun)	05b.08
Hale-1973-1798-638	twinkle (stars)	05b.09
Hale-1973-1798-639	set (sun)	05b.10
Hale-1973-1798-640	appear	05b.11
Hale-1973-1798-641	rain	05b.12
Hale-1973-1798-642	snow	05b.13
Hale-1973-1798-643	hail	05b.14
Hale-1973-1798-644	blow	05b.15
Hale-1973-1798-645	thunder	05b.16
Hale-1973-1798-646	flash (lightning)	05b.17
Hale-1973-1798-647	strike	05b.18
Hale-1973-1798-648	flow	05b.19
Hale-1973-1798-649	drip	05b.20
Hale-1973-1798-650	splash	05b.21
Hale-1973-1798-651	freeze	05b.22
Hale-1973-1798-652	flood (big damage)	05b.23
Hale-1973-1798-653	flood (small damage)	05b.24
Hale-1973-1798-654	float	05b.25
Hale-1973-1798-655	sink	05b.26
Hale-1973-1798-656	drown	05b.27
Hale-1973-1798-657	slide (earth slide)	05b.28
Hale-1973-1798-658	echo	05b.29
Hale-1973-1798-659	road	06a.01
Hale-1973-1798-660	village	06a.02
Hale-1973-1798-661	town	06a.03
Hale-1973-1798-662	place	06a.04
